Region,Population,Density (inhabitants/km2),Most Populous Country,Country Population,Most Populous City,City Population,Most Populous Area,Area Population
Asia,4641000000,104.1,India,1439090595,Tokyo Metropolis,13515000,Greater Tokyo Area,37400000
Africa,1340000000,44.4,Nigeria,211401000,Cairo,9500000,Greater Cairo,20076000
Europe,747000000,73.4,"Russia, approx. 110 million in Europe",146171000,Moscow,13200000,Moscow metropolitan area,20004000
Latin America,653000000,24.1,Brazil,214103000,São Paulo City,12252000,São Paulo Metro Area,21650000
Northern America,368000000,14.9,United States,332909000,New York City,8804000,New York metropolitan area,23582649
Oceania,42000000,5.0,Australia,25917000,Sydney,5367000,No applicable,No applicable
Antarctica,4000,0.0,No applicable,No applicable,McMurdo Station,1258,No applicable,No applicable
